author_given	author_family	affiliation	DOI
Kate	Donahue	Cornell University	10.1145/3351095.3372847
Jon	Kleinberg	Cornell University	10.1145/3351095.3372847
Hadi	Elzayn	University of Pennsylvania	10.1145/3351095.3372842
Benjamin	Fish	Microsoft Research	10.1145/3351095.3372842
Alan	Lundgard	Massachusetts Institute of Technology Cambridge, Massachusetts	10.1145/3351095.3372838
Dylan	Baker	Google	10.1145/3351095.3375687
Alex	Hanna	Google	10.1145/3351095.3375687
Emily	Denton	Google AI	10.1145/3351095.3375687
Kathy	Baxter	Salesforce, Inc.	10.1145/3351095.3375680
Yoav	Schlesinger	Salesforce, Inc.	10.1145/3351095.3375680
Sarah	Aerni	Salesforce, Inc.	10.1145/3351095.3375680
Lewis	Baker	Pymetrics, Inc.	10.1145/3351095.3375680
Julie	Dawson	Yoti, Inc.	10.1145/3351095.3375680
Krishnaram	Kenthapadi	LinkedIn, Inc.	10.1145/3351095.3375680
Isabel	Kloumann	Facebook, Inc.	10.1145/3351095.3375680
Hanna	Wallach	Microsoft, Inc.	10.1145/3351095.3375680
Helen	Pritchard	University of London	10.1145/3351095.3375697
Eric	Snodgrass	Linnaeus University	10.1145/3351095.3375697
Romi Ron	Morrison	University of Southern California	10.1145/3351095.3375697
Loren	Britton	University of Kassel	10.1145/3351095.3375697
Joana	Moll	Independent Artist and Researcher, Barcelona	10.1145/3351095.3375697
Alexandra Reeve	Givens	Georgetown University Institute for Tech Law &amp; Policy	10.1145/3351095.3375686
Meredith Ringel	Morris	Microsoft Research	10.1145/3351095.3375686
Hannah	Sassaman	Media Mobilizing Project	10.1145/3351095.3375689
Jennifer	Lee	ACLU Washington	10.1145/3351095.3375689
Jenessa	Irvine	Media Mobilizing Project	10.1145/3351095.3375689
Shankar	Narayan	Seattle	10.1145/3351095.3375689
Alex	Hanna	N/A	10.1145/3351095.3375692
Emily	Denton	N/A	10.1145/3351095.3375692
Doris	Allhutter	Austrian Academy of Sciences, Vienna Austria	10.1145/3351095.3375688
Bettina	Berendt	TU Berlin, Germany &amp; KU Leuven, Belgium	10.1145/3351095.3375688
Marguerite	Barry	University College Dublin	10.1145/3351095.3375684
Aphra	Kerr	Maynooth University	10.1145/3351095.3375684
Oliver	Smith	TelefÃ³nica Innovation Alpha, Barcelona	10.1145/3351095.3375684
Katarzyna	Szymielewicz	Panoptykon Foundation, Warsaw, Poland	10.1145/3351095.3375683
Anna	Bacciarelli	Amnesty International UK, London, United Kingdom	10.1145/3351095.3375683
Fanny	Hidvegi	AccessNow, Brussels, Belgium	10.1145/3351095.3375683
Agata	Foryciarz	Stanford University	10.1145/3351095.3375683
Soizic	PÃ©nicaud	French Prime Minister Services, Paris, France	10.1145/3351095.3375683
Matthias	Spielkamp	AlgorithmWatch, Berlin, Germany	10.1145/3351095.3375683
Muhammad Aurangzeb	Ahmad	University of Washington Tacoma / KenSci	10.1145/3351095.3375690
Ankur	Teredesai	University of Washington Tacoma / KenSci	10.1145/3351095.3375690
Carly	Eckert	University of Washington / KenSci	10.1145/3351095.3375690
Patrick	Williams	Manchester Metropolitan University	10.1145/3351095.3375695
Eric	Kind	Queen Mary University	10.1145/3351095.3375695
Evelyn	Wan	Tilburg University, Tilburg, The Netherlands	10.1145/3351095.3375685
Aviva	de Groot	Tilburg University, Tilburg, The Netherlands	10.1145/3351095.3375685
Shazade	Jameson	Tilburg University, Tilburg, The Netherlands	10.1145/3351095.3375685
Mara	PÄƒun	Tilburg University, Tilburg, The Netherlands	10.1145/3351095.3375685
Phillip	LÃ¼cking	University of Kassel, Kassel, Germany	10.1145/3351095.3375685
Goda	Klumbyte	University of Kassel, Kassel, Germany	10.1145/3351095.3375685
Danny	LÃ¤mmerhirt	Siegen University, Siegen, Germany	10.1145/3351095.3375685
Ezra	Goss	Georgia Institute of Technology	10.1145/3351095.3375682
Lily	Hu	Harvard University	10.1145/3351095.3375682
Manuel	Sabin	University of California	10.1145/3351095.3375682
Stephanie	Teeple	University of Pennsylvania	10.1145/3351095.3375682
Solon	Barocas	Cornell University	10.1145/3351095.3375691
Asia J.	Biega	Microsoft Research	10.1145/3351095.3375691
Benjamin	Fish	Microsoft Research	10.1145/3351095.3375691
JÄ™drzej	Niklas	London School of Economics and Political Science	10.1145/3351095.3375691
Luke	Stark	Microsoft Research	10.1145/3351095.3375691
Vijay	Arya	IBM Research	10.1145/3351095.3375667
Rachel K. E.	Bellamy	IBM Research	10.1145/3351095.3375667
Pin-Yu	Chen	IBM Research	10.1145/3351095.3375667
Amit	Dhurandhar	IBM Research	10.1145/3351095.3375667
Michael	Hind	IBM Research	10.1145/3351095.3375667
Samuel C.	Hoffman	IBM Research	10.1145/3351095.3375667
Stephanie	Houde	IBM Research	10.1145/3351095.3375667
Q. Vera	Liao	IBM Research	10.1145/3351095.3375667
Ronny	Luss	IBM Research	10.1145/3351095.3375667
Aleksandra	MojsiloviÄ‡	IBM Research	10.1145/3351095.3375667
Sami	Mourad	IBM Research	10.1145/3351095.3375667
Pablo	Pedemonte	IBM Research	10.1145/3351095.3375667
Ramya	Raghavendra	IBM Research	10.1145/3351095.3375667
John	Richards	IBM Research	10.1145/3351095.3375667
Prasanna	Sattigeri	IBM Research	10.1145/3351095.3375667
Karthikeyan	Shanmugam	IBM Research	10.1145/3351095.3375667
Moninder	Singh	IBM Research	10.1145/3351095.3375667
Kush R.	Varshney	IBM Research	10.1145/3351095.3375667
Dennis	Wei	IBM Research	10.1145/3351095.3375667
Yunfeng	Zhang	IBM Research	10.1145/3351095.3375667
Bogdana	Rakova	Accenture	10.1145/3351095.3375672
Rumman	Chowdhury	Accenture	10.1145/3351095.3375672
Jingying	Yang	Partnership on AI	10.1145/3351095.3375672
Marion	Oswald	University of Northumbria, UK	10.1145/3351095.3375673
David	Powell	Hampshire Constabulary, UK	10.1145/3351095.3375673
Krishna	Gade	Fiddler Labs	10.1145/3351095.3375664
Sahin Cem	Geyik	LinkedIn	10.1145/3351095.3375664
Krishnaram	Kenthapadi	Amazon AWS AI	10.1145/3351095.3375664
Varun	Mithal	LinkedIn	10.1145/3351095.3375664
Ankur	Taly	Fiddler Labs	10.1145/3351095.3375664
Robin Douglas	Burke	University of Colorado	10.1145/3351095.3375670
Masoud	Mansoury	Eindhoven University of Technology	10.1145/3351095.3375670
Nasim	Sonboli	University of Colorado, Boulder	10.1145/3351095.3375670
Indira	Sen	GESIS	10.1145/3351095.3375669
Fabian	FlÃ¶ck	GESIS	10.1145/3351095.3375669
Katrin	Weller	GESIS	10.1145/3351095.3375669
Bernd	WeiÃŸ	GESIS	10.1145/3351095.3375669
Claudia	Wagner	GESIS	10.1145/3351095.3375669
Corinne	Cath	Oxford Internet Institute, Oxford, UK	10.1145/3351095.3375665
Mark	Latonero	Data &amp; Society Research Institute	10.1145/3351095.3375665
Vidushi	Marda	Article 19, Bangalore, India	10.1145/3351095.3375665
Roya	Pakzad	Taraaz	10.1145/3351095.3375665
Natasha	Duarte	Upturn	10.1145/3351095.3375668
Stan	Adams	Center for Democracy &amp; Technology	10.1145/3351095.3375668
Christine	Kaeser-Chen	Google Research	10.1145/3351095.3375666
Elizabeth	Dubois	University of Ottawa	10.1145/3351095.3375666
Friederike	SchÃ¼Ã¼r	CityBlock Health	10.1145/3351095.3375666
Emanuel	Moss	CUNY Graduate Center / Data &amp; Society Research Institute	10.1145/3351095.3375666
James	Wexler	Google	10.1145/3351095.3375662
Mahima	Pushkarna	Google	10.1145/3351095.3375662
Sara	Robinson	Google	10.1145/3351095.3375662
Tolga	Bolukbasi	Google	10.1145/3351095.3375662
Andrew	Zaldivar	Google	10.1145/3351095.3375662
Abigail Z.	Jacobs	University of Michigan	10.1145/3351095.3375671
Su Lin	Blodgett	University of Massachusetts Amherst	10.1145/3351095.3375671
Solon	Barocas	Microsoft Research and Cornell University	10.1145/3351095.3375671
Hal	DaumÃ©	Microsoft Research and University of Maryland	10.1145/3351095.3375671
Hanna	Wallach	Microsoft Research	10.1145/3351095.3375671
Maya Indira	Ganesh	Leuphana University, Lueneburg, Germany	10.1145/3351095.3375663
Francien	Dechesne	Leiden University, Leiden, Netherlands	10.1145/3351095.3375663
Zeerak	Waseem	University of Sheffield, Sheffield, United Kingdom	10.1145/3351095.3375663
Lelia Marie	Hampton	EECS and CSAIL, MIT, Cambridge, MA, USA	10.1145/3442188.3445929
Maxime C.	Cohen	Desautels Faculty of Management, McGill University, Montreal, Quebec, Canada	10.1145/3442188.3445864
Adam N.	Elmachtoub	Department of Industrial Engineering and Operations Research &amp; Data Science Institute, Columbia University, New York, New York, USA	10.1145/3442188.3445864
Xiao	Lei	Department of Industrial Engineering and Operations Research, Columbia University, New York, New York, USA	10.1145/3442188.3445864
Harvineet	Singh	Center for Data Science, New York University, New York City, NY, USA	10.1145/3442188.3445865
Rina	Singh	Tandon School of Engineering, New York University, New York City, NY, USA	10.1145/3442188.3445865
Vishwali	Mhasawade	Tandon School of Engineering, New York University, New York City, NY, USA	10.1145/3442188.3445865
Rumi	Chunara	Tandon School of Engineering; School of Global Public Health, New York University, New York City, NY, USA	10.1145/3442188.3445865
Atoosa	Kasirzadeh	University of Toronto Australian National University	10.1145/3442188.3445866
Hoda	Heidari	Carnegie Mellon University	10.1145/3442188.3445867
Jon	Kleinberg	Cornell University	10.1145/3442188.3445867
Tom	Ron	Technion - Israel Institute of Technology	10.1145/3442188.3445868
Omer	Ben-Porat	Tel-Aviv University	10.1145/3442188.3445868
Uri	Shalit	Technion - Israel Institute of Technology	10.1145/3442188.3445868
Ramya	Srinivasan	Fujitsu Laboratories of America	10.1145/3442188.3445869
Kanji	Uchino	Fujitsu Laboratories of America	10.1145/3442188.3445869
Joon Sung	Park	Microsoft Research - Redmond, Stanford University, Stanford, CA, USA	10.1145/3442188.3445870
Danielle	Bragg	Microsoft Research - New England Cambridge, MA, USA	10.1145/3442188.3445870
Ece	Kamar	Microsoft Research - Redmond Redmond, WA, USA	10.1145/3442188.3445870
Meredith Ringel	Morris	Microsoft Research - Redmond Redmond, WA, USA	10.1145/3442188.3445870
Lauren	Thornton	Lancaster University, Lancaster, UK	10.1145/3442188.3445871
Bran	Knowles	Lancaster University, Lancaster, UK	10.1145/3442188.3445871
Gordon	Blair	Lancaster University, Lancaster, UK	10.1145/3442188.3445871
Kyla	Chasalow	Cornell University	10.1145/3442188.3445872
Karen	Levy	Cornell University	10.1145/3442188.3445872
Elinor	Benami	Virginia Tech	10.1145/3442188.3445873
Reid	Whitaker	University of California Berkeley	10.1145/3442188.3445873
Vincent	La	Stanford University	10.1145/3442188.3445873
Hongjin	Lin	Stanford University	10.1145/3442188.3445873
Brandon R.	Anderson	Stanford University	10.1145/3442188.3445873
Daniel E.	Ho	Stanford University	10.1145/3442188.3445873
Marc	Cheong	Centre for AI and Digital Ethics, University of Melbourne Parkville, VIC, Australia	10.1145/3442188.3445874
Kobi	Leins	Centre for AI and Digital Ethics, University of Melbourne Parkville, VIC, Australia	10.1145/3442188.3445874
Simon	Coghlan	Centre for AI and Digital Ethics, University of Melbourne Parkville, VIC, Australia	10.1145/3442188.3445874
Ari	Ball-Burack	Compliant &amp; Accountable Systems Group University of Cambridge, UK	10.1145/3442188.3445875
Michelle Seng Ah	Lee	Compliant &amp; Accountable Systems Group University of Cambridge, UK	10.1145/3442188.3445875
Jennifer	Cobbe	Compliant &amp; Accountable Systems Group University of Cambridge, UK	10.1145/3442188.3445875
Jatinder	Singh	Compliant &amp; Accountable Systems Group University of Cambridge, UK	10.1145/3442188.3445875
Tim	RÃ¤z	Institute of Philosophy, University of Bern, Switzerland Institute of Biomedical Ethics and History of Medicine, University of ZÃ¼rich, Switzerland	10.1145/3442188.3445876
Hongjing	Zhang	University of California, Davis	10.1145/3442188.3445878
Ian	Davidson	University of California, Davis	10.1145/3442188.3445878
Victoria	Cheng	Vector Institute, University of Toronto, Snap Inc.	10.1145/3442188.3445879
Vinith M.	Suriyakumar	Vector Institute, University of Toronto	10.1145/3442188.3445879
Natalie	Dullerud	Vector Institute, University of Toronto	10.1145/3442188.3445879
Shalmali	Joshi	Vector Institute	10.1145/3442188.3445879
Marzyeh	Ghassemi	Vector Institute, University of Toronto Canadian CIFAR AI Chair	10.1145/3442188.3445879
Milagros	Miceli	Technische UniversitÃ¤t Berlin	10.1145/3442188.3445880
Tianling	Yang	Technische UniversitÃ¤t Berlin	10.1145/3442188.3445880
Laurens	Naudts	Centre for IT &amp; IP Law (CiTiP), KU Leuven	10.1145/3442188.3445880
Martin	Schuessler	Technische UniversitÃ¤t Berlin	10.1145/3442188.3445880
Diana	Serbanescu	Technische UniversitÃ¤t Berlin	10.1145/3442188.3445880
Alex	Hanna	Google Research	10.1145/3442188.3445880
Amanda	Coston	Carnegie Mellon University	10.1145/3442188.3445881
Neel	Guha	Stanford University	10.1145/3442188.3445881
Derek	Ouyang	Stanford University	10.1145/3442188.3445881
Lisa	Lu	Stanford University	10.1145/3442188.3445881
Alexandra	Chouldechova	Carnegie Mellon University	10.1145/3442188.3445881
Daniel E.	Ho	Stanford University	10.1145/3442188.3445881
Kate	Donahue	Cornell University	10.1145/3442188.3445882
Solon	Barocas	Microsoft Research and Cornell University	10.1145/3442188.3445882
Fereshte	Khani	Stanford University	10.1145/3442188.3445883
Percy	Liang	Stanford University	10.1145/3442188.3445883
Pranjal	Awasthi	Rutgers University &amp; Google	10.1145/3442188.3445884
Alex	Beutel	Google	10.1145/3442188.3445884
MatthÃ¤us	Kleindessner	Amazon	10.1145/3442188.3445884
Jamie	Morgenstern	University of Washington &amp; Google	10.1145/3442188.3445884
Xuezhi	Wang	Google	10.1145/3442188.3445884
Nicholas	Vincent	Northwestern University	10.1145/3442188.3445885
Hanlin	Li	Northwestern University	10.1145/3442188.3445885
Nicole	Tilly	Northwestern University	10.1145/3442188.3445885
Stevie	Chancellor	University of Minnesota	10.1145/3442188.3445885
Brent	Hecht	Northwestern University	10.1145/3442188.3445885
Atoosa	Kasirzadeh	University of Toronto, Australian National University	10.1145/3442188.3445886
Andrew	Smart	Google	10.1145/3442188.3445886
Anay	Mehrotra	Yale University	10.1145/3442188.3445887
L. Elisa	Celis	Yale University	10.1145/3442188.3445887
McKane	Andrus	Partnership on AI	10.1145/3442188.3445888
Elena	Spitzer	Partnership on AI	10.1145/3442188.3445888
Jeffrey	Brown	Partnership on AI, Minnesota State University, Mankato	10.1145/3442188.3445888
Alice	Xiang	Sony AI, Partnership on AI	10.1145/3442188.3445888
Nikhil	Garg	UC Berkeley, Berkeley, USA	10.1145/3442188.3445889
Hannah	Li	Stanford University, Stanford, USA	10.1145/3442188.3445889
Faidra	Monachou	Stanford University, Stanford, USA	10.1145/3442188.3445889
Bran	Knowles	Lancaster University, Lancaster, UK	10.1145/3442188.3445890
John T.	Richards	TJ Watson Research Center, IBM Yorktown Heights, New York, USA	10.1145/3442188.3445890
Angela E.	Kilby	Northeastern University Boston, Massachusetts, USA	10.1145/3442188.3445891
Samuel	Yeom	Carnegie Mellon University	10.1145/3442188.3445892
Michael Carl	Tschantz	International Computer Science Institute	10.1145/3442188.3445892
Joshua L	Martin	University of Florida Gainesville, Florida	10.1145/3442188.3445893
Emily	Black	Carnegie Mellon University	10.1145/3442188.3445894
Matt	Fredrikson	Carnegie Mellon University	10.1145/3442188.3445894
Nathan	Kallus	Cornell University and Cornell Tech	10.1145/3442188.3445895
Angela	Zhou	Cornell University and Cornell Tech	10.1145/3442188.3445895
Nithya	Sambasivan	Google Research Mountain View, CA	10.1145/3442188.3445896
Erin	Arnesen	Google Research Mountain View, CA	10.1145/3442188.3445896
Ben	Hutchinson	Google Research Mountain View, CA	10.1145/3442188.3445896
Tulsee	Doshi	Google Research Mountain View, CA	10.1145/3442188.3445896
Vinodkumar	Prabhakaran	Google Research Mountain View, CA	10.1145/3442188.3445896
Rediet	Abebe	University of California, Berkeley	10.1145/3442188.3445897
Kehinde	Aruleba	University of the Witwatersrand	10.1145/3442188.3445897
Abeba	Birhane	University College Dublin &amp; Lero	10.1145/3442188.3445897
Sara	Kingsley	Carnegie Mellon University	10.1145/3442188.3445897
George	Obaido	University of the Witwatersrand	10.1145/3442188.3445897
Sekou L.	Remy	IBM Research - Africa	10.1145/3442188.3445897
Swathi	Sadagopan	Deloitte	10.1145/3442188.3445897
Kendra	Albert	Harvard Law School Cambridge, MA	10.1145/3442188.3445898
Maggie	Delano	Swarthmore College, Swarthmore, PA	10.1145/3442188.3445898
Amir-Hossein	Karimi	MPI-IS, Germany, ETH ZÃ¼rich, Switzerland	10.1145/3442188.3445899
Bernhard	SchÃ¶lkopf	MPI-IS, Germany	10.1145/3442188.3445899
Isabel	Valera	MPI-IS, Germany, Saarland University, Germany	10.1145/3442188.3445899
Simone Diniz Junqueira	Barbosa	Department of Informatics, PUC-Rio Rio de Janeiro, RJ	10.1145/3442188.3445900
Gabriel Diniz Junqueira	Barbosa	Department of Informatics, PUC-Rio Rio de Janeiro, RJ	10.1145/3442188.3445900
Clarisse Sieckenius de	Souza	Department of Informatics, PUC-Rio Rio de Janeiro, RJ	10.1145/3442188.3445900
Carla Faria	LeitÃ£o	Department of Psychology, PUC-Rio Rio de Janeiro, RJ	10.1145/3442188.3445900
Abigail Z.	Jacobs	University of Michigan	10.1145/3442188.3445901
Hanna	Wallach	Microsoft Research	10.1145/3442188.3445901
Alan	Mishler	Department of Statistics, Carnegie Mellon University	10.1145/3442188.3445902
Edward H.	Kennedy	Department of Statistics, Carnegie Mellon University	10.1145/3442188.3445902
Alexandra	Chouldechova	Heinz College Carnegie Mellon University	10.1145/3442188.3445902
Neel	Patel	University of Southern California	10.1145/3442188.3445903
Martin	Strobel	National University of Singapore	10.1145/3442188.3445903
Yair	Zick	University of Massachusetts, Amherst	10.1145/3442188.3445903
Stefania	Ionescu	University of ZÃ¼rich, ZÃ¼rich, Switzerland	10.1145/3442188.3445904
AnikÃ³	HannÃ¡k	University of ZÃ¼rich, ZÃ¼rich, Switzerland	10.1145/3442188.3445904
Kenneth	Joseph	University at Buffalo, Buffalo, NY, USA	10.1145/3442188.3445904
Severin	Kacianka	Technical University of Munich, Garching, Germany	10.1145/3442188.3445905
Alexander	Pretschner	Technical University of Munich, Garching, Germany	10.1145/3442188.3445905
Mehrdad	Ghadiri	Georgia Tech, USA	10.1145/3442188.3445906
Samira	Samadi	MPI for Intelligent Systems, Germany	10.1145/3442188.3445906
Santosh	Vempala	Georgia Tech, USA	10.1145/3442188.3445906
Won Ik	Cho	Dept. of ECE and INMC, Seoul National University, Seoul, Korea	10.1145/3442188.3445907
Jiwon	Kim	Independent Researcher, Daegu, Korea	10.1145/3442188.3445907
Jaeyeong	Yang	Dept. of Linguistics, Seoul National University, Seoul, Korea	10.1145/3442188.3445907
Nam Soo	Kim	Dept. of ECE and INMC, Seoul National University, Seoul, Korea	10.1145/3442188.3445907
William	Boag	MIT, USA	10.1145/3442188.3445909
Hassan	KanÃ©	WL Research, USA	10.1145/3442188.3445909
Saumya	Rawat	MIT, USA	10.1145/3442188.3445909
Jesse	Wei	Beth Israel Deaconess Medical Center, Department of Radiology, USA	10.1145/3442188.3445909
Alexander	Goehler	Beth Israel Deaconess Medical Center, Department of Radiology, USA	10.1145/3442188.3445909
Vedant	Nanda	University of Maryland MPI-SWS	10.1145/3442188.3445910
Samuel	Dooley	University of Maryland	10.1145/3442188.3445910
Sahil	Singla	University of Maryland	10.1145/3442188.3445910
Soheil	Feizi	University of Maryland	10.1145/3442188.3445910
John P.	Dickerson	University of Maryland	10.1145/3442188.3445910
Mats	Mulder	Delft University of Technology, Delft, The Netherlands	10.1145/3442188.3445911
Oana	Inel	Delft University of Technology, Delft, The Netherlands	10.1145/3442188.3445911
Jasper	Oosterman	Blendle Utrecht, The Netherlands	10.1145/3442188.3445911
Nava	Tintarev	Maastricht University Maastricht, The Netherlands	10.1145/3442188.3445911
Jessie	Finocchiaro	CU Boulder	10.1145/3442188.3445912
Roland	Maio	Columbia University	10.1145/3442188.3445912
Faidra	Monachou	Stanford University	10.1145/3442188.3445912
Gourab K	Patro	IIT Kharagpur	10.1145/3442188.3445912
Manish	Raghavan	Cornell University	10.1145/3442188.3445912
Ana-Andreea	Stoica	Columbia University	10.1145/3442188.3445912
Stratis	Tsirtsis	Max Planck Institute for Software Systems	10.1145/3442188.3445912
Mohsen	Abbasi	University of Utah	10.1145/3442188.3445913
Aditya	Bhaskara	University of Utah	10.1145/3442188.3445913
Suresh	Venkatasubramanian	University of Utah	10.1145/3442188.3445913
Inioluwa Deborah	Raji	Mozilla Foundation	10.1145/3442188.3445914
Morgan Klaus	Scheuerman	Information Science, University of Colorado Boulder	10.1145/3442188.3445914
Razvan	Amironesei	CADE, University of San Francisco	10.1145/3442188.3445914
Jialu	Wang	UC Santa Cruz, Santa Cruz, CA, USA	10.1145/3442188.3445915
Yang	Liu	UC Santa Cruz, Santa Cruz, CA, USA	10.1145/3442188.3445915
Caleb	Levy	UC Santa Cruz Santa Cruz, CA, USA	10.1145/3442188.3445915
Eddie	Yang	University of California, San Diego La Jolla, California	10.1145/3442188.3445916
Margaret E.	Roberts	University of California, San Diego La Jolla, California	10.1145/3442188.3445916
Ronan	Hamon	European Commission, Joint Research Centre, Ispra, Italy	10.1145/3442188.3445917
Henrik	Junklewitz	European Commission, Joint Research Centre, Ispra, Italy	10.1145/3442188.3445917
Gianclaudio	Malgieri	Augmented Law Institute, EDHEC Business School, Lille, France	10.1145/3442188.3445917
Paul De	Hert	Law Science Technology &amp; Society, Vrije Universiteit Brussel, Brussels, Belgium	10.1145/3442188.3445917
Laurent	Beslay	European Commission, Joint Research Centre, Ispra, Italy	10.1145/3442188.3445917
Ignacio	Sanchez	European Commission, Joint Research Centre, Ispra, Italy	10.1145/3442188.3445917
Ben	Hutchinson	N/A	10.1145/3442188.3445918
Andrew	Smart	N/A	10.1145/3442188.3445918
Alex	Hanna	N/A	10.1145/3442188.3445918
Emily	Denton	N/A	10.1145/3442188.3445918
Christina	Greer	N/A	10.1145/3442188.3445918
Oddur	Kjartansson	N/A	10.1145/3442188.3445918
Parker	Barnes	N/A	10.1145/3442188.3445918
Margaret	Mitchell	N/A	10.1145/3442188.3445918
Maximilian	Kasy	University of Oxford, Department of Economics	10.1145/3442188.3445919
Rediet	Abebe	University of California, Berkeley, Department of Electrical Engineering &amp; Computer Sciences	10.1145/3442188.3445919
Zaid	Khan	Northeastern University	10.1145/3442188.3445920
Yun	Fu	Northeastern University	10.1145/3442188.3445920
Jennifer	Cobbe	Compliant and Accountable Systems Research Group, University of Cambridge, UK	10.1145/3442188.3445921
Michelle Seng Ah	Lee	Compliant and Accountable Systems Research Group, University of Cambridge, UK	10.1145/3442188.3445921
Jatinder	Singh	Compliant and Accountable Systems Research Group, University of Cambridge, UK	10.1145/3442188.3445921
Emily M.	Bender	University of Washington, Seattle, WA, USA	10.1145/3442188.3445922
Timnit	Gebru	Black in AI, Palo Alto, CA, USA	10.1145/3442188.3445922
Angelina	McMillan-Major	University of Washington, Seattle, WA, USA	10.1145/3442188.3445922
Shmargaret	Shmitchell	The Aether	10.1145/3442188.3445922
Alon	Jacovi	Bar Ilan University	10.1145/3442188.3445923
Ana	MarasoviÄ‡	Allen Institute for Artificial Intelligence, University of Washington	10.1145/3442188.3445923
Tim	Miller	School of Computing and Information Systems, The University of Melbourne	10.1145/3442188.3445923
Yoav	Goldberg	Bar Ilan University, Allen Institute for Artificial Intelligence	10.1145/3442188.3445923
Elias	GrÃ¼newald	Technische UniversitÃ¤t Berlin, Information Systems Engineering Research Group, Berlin, Germany	10.1145/3442188.3445925
Frank	Pallas	Technische UniversitÃ¤t Berlin, Information Systems Engineering Research Group, Berlin, Germany	10.1145/3442188.3445925
Kira	Lussier	University of Toronto	10.1145/3442188.3445926
Bahar	Taskesen	Ecole Polytechnique FÃ©dÃ©rale de Lausanne, Switzerland	10.1145/3442188.3445927
Jose	Blanchet	Stanford University, USA	10.1145/3442188.3445927
Daniel	Kuhn	Ecole Polytechnique FÃ©dÃ©rale de Lausanne, Switzerland	10.1145/3442188.3445927
Viet Anh	Nguyen	Stanford University, USA	10.1145/3442188.3445927
Christo	Wilson	Northeastern University	10.1145/3442188.3445928
Avijit	Ghosh	Northeastern University	10.1145/3442188.3445928
Shan	Jiang	Northeastern University	10.1145/3442188.3445928
Alan	Mislove	Northeastern University	10.1145/3442188.3445928
Lewis	Baker	pymetrics, inc.	10.1145/3442188.3445928
Janelle	Szary	pymetrics, inc.	10.1145/3442188.3445928
Kelly	Trindel	pymetrics, inc.	10.1145/3442188.3445928
Frida	Polli	pymetrics, inc.	10.1145/3442188.3445928
L. Elisa	Celis	Yale University	10.1145/3442188.3445930
Chris	Hays	Yale University	10.1145/3442188.3445930
Anay	Mehrotra	Yale University	10.1145/3442188.3445930
Nisheeth K.	Vishnoi	Yale University	10.1145/3442188.3445930
Maria	Kasinidou	Cyprus Center for Algorithmic Transparency, Open University of Cyprus, Nicosia, Cyprus	10.1145/3442188.3445931
Styliani	Kleanthous	Cyprus Center for Algorithmic Transparency, Open University of Cyprus Nicosia, Cyprus	10.1145/3442188.3445931
PÄ±nar	Barlas	Research Centre on Interactive Media, Smart Systems and Emerging Technologies, Nicosia, Cyprus	10.1145/3442188.3445931
Jahna	Otterbacher	Cyprus Center for Algorithmic Transparency, Open University of Cyprus, Nicosia, Cyprus	10.1145/3442188.3445931
Ryan	Steed	Carnegie Mellon University, Pittsburgh, Pennsylvania, USA	10.1145/3442188.3445932
Aylin	Caliskan	George Washington University, Washington, USA	10.1145/3442188.3445932
Smitha	Milli	UC Berkeley	10.1145/3442188.3445933
Luca	Belli	Twitter	10.1145/3442188.3445933
Moritz	Hardt	UC Berkeley	10.1145/3442188.3445933
Vinith M.	Suriyakumar	University of Toronto, Vector Institute	10.1145/3442188.3445934
Nicolas	Papernot	University of Toronto, Vector Institute	10.1145/3442188.3445934
Anna	Goldenberg	University of Toronto, Vector Institute	10.1145/3442188.3445934
Marzyeh	Ghassemi	University of Toronto, Vector Institute	10.1145/3442188.3445934
Jacob	Metcalf	Data &amp; Society Research Institute New York, NY	10.1145/3442188.3445935
Emanuel	Moss	Data &amp; Society Research Institute New York, NY CUNY Graduate Center New York, NY	10.1145/3442188.3445935
Elizabeth Anne	Watkins	Princeton Center for Information Technology Policy Princeton, NJ Data &amp; Society Research Institute New York, NY	10.1145/3442188.3445935
Ranjit	Singh	Data &amp; Society Research Institute New York, NY	10.1145/3442188.3445935
Madeleine Clare	Elish	Data &amp; Society Research Institute New York, NY	10.1145/3442188.3445935
Corinna	Hertweck	Zurich University of Applied Sciences, University of Zurich	10.1145/3442188.3445936
Christoph	Heitz	Zurich University of Applied Sciences	10.1145/3442188.3445936
Michele	Loi	University of Zurich	10.1145/3442188.3445936
Joshua A.	Kroll	Naval Postgraduate School, Monterey, CA	10.1145/3442188.3445937
P. M.	Krafft	Creative Computing Institute, University of Arts London	10.1145/3442188.3445938
Meg	Young	Digital Life Initiative, Cornell Tech	10.1145/3442188.3445938
Michael	Katell	Public Policy Programme, Alan Turing Institute	10.1145/3442188.3445938
Jennifer E.	Lee	ACLU of Washington	10.1145/3442188.3445938
Shankar	Narayan	MIRA	10.1145/3442188.3445938
Micah	Epstein	Coveillance Collective	10.1145/3442188.3445938
Dharma	Dailey	Human Centered Design &amp; Engineering, University of Washington	10.1145/3442188.3445938
Bernease	Herman	eScience Institute, University of Washington	10.1145/3442188.3445938
Aaron	Tam	Evans School of Public Policy &amp; Governance, University of Washington	10.1145/3442188.3445938
Vivian	Guetler	Department of Sociology, West Virginia University	10.1145/3442188.3445938
Corinne	Bintz	Department of Computer Science, Middlebury College	10.1145/3442188.3445938
Daniella	Raz	School of Information, University of Michigan	10.1145/3442188.3445938
