paper_id	id	country_code
1185	417	USA
1188	418	USA
1189	419	LSO
1192	420	SGP
1193	421	JPN
1194	422	USA
1198	423	USA
1198	424	USA
1206	425	SAU
1206	426	SAU
1207	427	GBR
1208	428	USA
1209	429	GBR
1216	430	MYS
1218	431	TWN
1124	432	AUS
1125	433	DNK
1238	434	CAN
1239	435	USA
1240	436	USA
1241	437	USA
1242	438	CHN
1245	439	IND
1250	440	GBR
1252	441	USA
1253	442	USA
1258	443	USA
1264	444	USA
1265	445	DEU
1266	446	USA
1266	447	GBR
1266	448	CAN
1266	449	AUS
1267	450	USA
1270	451	USA
1273	452	CHN
1275	453	USA
1277	454	USA
1278	455	USA
1280	456	USA
1282	457	USA
1283	458	USA
1284	459	CAN
1285	460	GBR
1293	461	USA
1295	462	USA
1297	463	IND
1297	464	IND
1297	465	IND
1301	466	CAN
1305	467	CHN
1306	468	FRA
1307	469	USA
1311	470	FRA
1311	471	GBR
1314	472	USA
1315	473	CHE
1318	474	USA
1321	475	USA
1322	476	USA
1323	477	USA
1326	478	USA
1327	479	GBR
1328	480	KOR
1329	481	AUS
1330	482	JPN
1337	483	USA
1348	484	USA
1350	485	GBR
1353	486	KOR
1354	487	CAN
1359	488	DEU
1360	489	USA
1361	490	USA
1364	491	USA
1370	492	GBR
1371	493	USA
1372	494	GBR
1373	495	GBR
1382	496	SWE
1385	497	USA
1387	498	CAN
1388	499	DEU
1389	500	GBR
1394	501	USA
1395	502	USA
1403	503	TUR
1404	504	CAN
1405	505	JPN
1406	506	FIN
1407	507	USA
1409	508	GBR
1411	509	GBR
1413	510	USA
1414	511	USA
1420	512	USA
1425	513	USA
1426	514	USA
1426	515	NZL
1426	516	AUS
1430	517	GBR
1432	518	FIN
1433	519	FIN
1434	520	USA
1434	521	GBR
1434	522	CAN
1434	523	AUS
1434	524	NZL
1435	525	USA
1438	526	USA
1446	527	DEU
1447	528	USA
1448	529	AUS
1452	530	AUS
1453	531	FRA
1460	532	GBR
1460	533	USA
1461	534	GBR
